=== Log started at 2025-12-09 09:15:03 ===
[2025-12-09 09:15:03] === Process started ===
[2025-12-09 09:15:03] Fetching JSON data from: https://api.housamo.xyz/housamo/unity/json/?file=/housamo/adv2024/Android/Android&mode=raw
[2025-12-09 09:17:31]  SKIPPED (no change): volos.chapter.asset
[2025-12-09 09:17:32]  SKIPPED (no change): vsummer2020.chapter.asset
[2025-12-09 09:17:33]  SKIPPED (no change): wakantanka.chapter.asset
[2025-12-09 09:17:33]  SKIPPED (no change): xmas2016.chapter.asset
[2025-12-09 09:17:34]  SKIPPED (no change): xmas2017.chapter.asset
[2025-12-09 09:17:35]  SKIPPED (no change): xmas2018.chapter.asset
[2025-12-09 09:17:35]  SKIPPED (no change): xmas2019.chapter.asset
[2025-12-09 09:17:36]  SKIPPED (no change): xmas2020.chapter.asset
[2025-12-09 09:17:37]  SKIPPED (no change): xmas2021.chapter.asset
[2025-12-09 09:17:37]  SKIPPED (no change): xmas2022.chapter.asset
[2025-12-09 09:17:38]  SKIPPED (no change): xmas2023.chapter.asset
[2025-12-09 09:17:39]  SKIPPED (no change): xmas2024.chapter.asset
[2025-12-09 09:17:39]  DOWNLOADED: xmas2025.chapter.asset
[2025-12-09 09:17:40]  SKIPPED (no change): xolotl.chapter.asset
[2025-12-09 09:17:40]  SKIPPED (no change): yamasachihiko.chapter.asset
[2025-12-09 09:17:41]  SKIPPED (no change): yasuyori.chapter.asset
[2025-12-09 09:17:42]  SKIPPED (no change): zabaniya.chapter.asset
[2025-12-09 09:17:43]  SKIPPED (no change): zaou.chapter.asset
[2025-12-09 09:17:43]  SKIPPED (no change): zhurong.chapter.asset
[2025-12-09 09:17:43] === Process finished ===
